203	334	381	596	1412	2252	3245	3588
83	151	290	432	906	1239	2039	3735
146	390	488	782	1564	2049	2979	4329
126	261	339	555	1267	1760	2499	3709
94	165	290	429	897	1306	1903	3249
109	250	306	454	1002	1609	2177	2987
206	353	499	680	1638	2156	3292	3524
163	333	489	840	2138	2951	4223	3742
118	234	369	518	1332	2011	3234	4853
81	140	266	485	1077	1459	2265	4726
95	202	359	498	1248	1961	2785	2733
117	180	227	330	839	1211	1718	3436
156	284	497	609	1273	1851	2733	3015
98	147	261	340	695	1037	1573	3384
109	214	297	504	1165	1858	2623	3118
83	154	291	424	1042	1593	2414	4430
92	191	212	410	816	1142	1580	3137
257	331	519	838	1666	2626	3475	2955
165	335	523	867	1638	2422	3142	2460
118	259	346	465	1247	1848	2650	4017
122	235	402	626	1649	2442	3894	4008
110	232	476	946	2347	3833	4646	3955
144	280	522	924	2456	3784	4373	3535
143	205	314	329	748	1132	1725	2857
78	172	278	540	1491	2568	3761	4190
215	551	728	1281	3688	4497	4722	4738
172	534	979	1628	3979	5408	5562	5049
121	315	452	832	2494	4122	4429	3603
109	251	410	747	2297	3470	4386	3852
130	282	443	617	1956	3215	3669	3278
104	125	285	403	1256	2003	2897	3015
121	250	434	804	1919	3217	3930	3708
128	217	247	323	598	934	1474	3358
97	145	213	294	789	1154	1722	2936
87	225	328	499	1057	1457	1954	3763
102	260	363	549	972	1273	1703	2927
							
							
							
