24	22	20	25	18	19	18
19	21	19	20	18	26	18
29	33	23	35	29	28	19
19	18	17	18	18	18	18
29	19	22	20	20	20	19
21	20	25	24	20	21	22
26	21	21	24	25	27	23
24	24	18	33	24	40	29
24	20	24	20	20	21	24
19	38	32	33	21	37	32
22	19	25	35	22	42	34
38	31	38	52	63	59	51
39	65	71	143	139	200	212
40	36	70	110	86	177	210
41	40	79	80	140	170	285
24	35	191	306	418	1063	1930
19	31	84	126	185	474	834
30	48	269	397	530	1018	2039
129	344	3211	4645	5163	4887	4236
26	42	379	633	1142	2836	4730
39	55	582	923	1532	3976	5131
29	77	699	1033	1728	4637	4856
26	29	495	682	1228	3011	4613
24	40	439	651	1109	2848	4364
