34	27	65	128	530	625	2510	3565	3006
35	30	60	111	543	725	2335	5704	4054
31	28	59	89	406	573	1936	3797	5182
31	28	52	97	477	652	2033	6607	10408
42	31	63	91	381	586	2039	4569	5213
41	31	61	97	431	655	2776	3714	3094
35	38	87	209	610	830	4598	10397	4865
43	30	59	109	577	1037	3060	5486	3606
30	30	60	93	452	1130	3228	5329	4814
44	35	67	103	743	1579	17311	16371	11812
31	26	47	92	1167	1196	14212	9305	5748
40	28	84	177	637	1794	19018	8901	5792
36	25	83	208	1273	2546	6529	7793	9097
34	27	51	173	949	2473	11965	9647	8964
44	35	61	117	1242	1618	10554	7563	6748
37	30	62	125	1141	2099	10233	8086	8398
48	28	54	214	909	2170	16601	17160	16560
36	29	75	163	916	2169	9325	7469	8334
37	29	65	271	2105	3322	7507	6218	7366
37	27	57	175	1756	3790	9826	8431	9150
32	24	63	200	1584	3651	14707	14757	13566
34	28	62	219	1414	3287	11403	11632	11794
33	24	48	133	1650	2843	8281	7696	8053
15	15	32	50	131	144	57	35	19
32	32	67	149	937	1627	7151	4297	4451
37	30	71	119	1269	1772	8708	7522	7694
26	25	50	71	912	1546	11395	11668	12306
40	34	78	187	1616	2699	5854	5432	5155
25	21	37	174	1135	2997	7597	7665	6960
15	14	31	54	191	347	899	855	673
32	28	55	95	750	997	3694	3059	2846
31	24	47	89	621	1421	17659	11382	6445
32	25	48	73	607	1400	7220	6980	4066
37	28	71	129	634	1091	2956	3665	3654
38	23	65	113	606	968	2859	3270	3364
37	28	78	133	581	974	2289	2497	2231
