181	140	192	338	596	2026	1552	1495	1228	1137
97	71	94	155	385	2075	1895	1438	1409	1188
118	79	108	211	747	1869	1813	1832	1337	1394
102	66	103	238	537	2005	2138	1887	1595	1408
99	69	126	281	586	1625	1539	1000	1060	942
128	77	91	183	404	1809	1892	1618	1716	1286
118	80	116	267	908	1270	1161	1137	1412	1355
171	128	186	349	771	2013	3590	2245	1819	1237
165	117	166	379	909	2443	2530	2089	1641	1245
115	92	150	352	735	4240	3912	2392	2030	2163
136	97	129	287	613	4606	5659	3028	2938	2560
131	90	122	252	638	4525	3724	4248	4222	4231
128	89	123	257	1355	3040	2027	3013	3810	2081
148	141	200	421	894	4339	2861	1452	1493	1566
143	121	165	334	907	6437	8130	3176	2975	3466
153	134	185	342	667	2118	4475	2874	2630	3705
155	124	164	313	696	4241	3443	2717	2233	2173
136	93	169	309	666	3648	4802	3564	3092	2411
217	144	174	263	558	3687	3829	5801	8947	9100
157	133	159	281	622	5056	4870	5420	6893	5713
180	157	177	306	557	4497	5444	4259	6273	5928
182	140	196	327	605	5431	4762	5150	5702	4886
113	81	129	285	662	6535	6694	6609	7714	6473
117	95	157	271	712	6118	7803	7025	8406	7440
