17	18	18	17	17	16	15	16
19	19	20	19	19	17	17	17
18	18	19	18	18	16	16	17
18	18	18	18	18	16	16	17
18	19	19	18	18	16	16	19
22	18	18	17	17	17	15	15
17	17	18	17	16	16	15	15
22	18	18	18	17	17	17	17
19	19	19	19	18	17	17	18
19	19	19	19	19	17	18	19
18	18	19	17	18	17	16	17
22	25	36	17	17	17	17	19
35	21	26	30	33	29	35	47
44	45	51	47	52	58	52	64
23	20	23	26	31	52	31	50
31	87	59	96	149	190	540	855
44	43	38	103	70	142	268	448
47	100	102	175	207	311	789	993
132	222	361	483	762	1039	4175	3731
133	108	332	411	832	1203	4620	4315
88	190	352	593	1075	1623	4615	4321
80	145	470	716	1267	2156	5593	4737
48	104	190	473	711	1143	4969	5233
110	174	348	525	1073	1534	5027	4530
