22	21	19	19	20	36	37	35	34	40
24	22	21	31	24	49	46	42	73	46
26	23	22	28	21	94	64	62	73	81
25	21	22	23	32	88	47	20	17	14
30	21	25	25	27	58	59	56	45	48
27	23	21	23	29	138	51	41	44	41
27	20	23	20	29	47	53	62	65	54
23	27	20	21	25	70	80	54	68	58
26	25	25	27	28	62	76	77	108	88
25	21	20	39	32	138	108	128	159	237
26	22	24	29	56	203	160	191	232	282
24	20	18	20	31	216	154	268	301	395
21	24	21	21	40	136	245	310	557	740
32	23	20	18	45	147	209	325	522	746
24	20	27	32	34	291	306	323	592	643
26	20	23	24	31	311	307	518	743	1054
22	22	20	22	26	266	284	463	719	1139
24	20	23	24	27	214	269	422	565	961
22	21	22	50	28	201	388	674	1111	1674
23	20	20	22	28	165	302	526	823	1300
26	22	31	29	28	168	292	550	836	1295
28	22	30	28	47	220	330	615	916	1440
24	21	22	23	38	217	313	493	853	1243
24	19	19	23	34	194	257	448	873	1629
