20	19	18	19	19	18	19	19	19	20
20	19	19	19	19	19	20	19	19	19
19	19	17	18	18	18	19	19	19	18
20	19	18	18	18	18	19	19	19	19
19	18	17	18	18	17	19	19	19	19
19	19	18	18	18	17	19	19	19	19
21	20	19	19	19	19	20	20	20	19
19	19	18	19	18	18	19	20	20	20
20	19	18	19	18	18	20	20	21	20
20	18	18	18	18	18	20	20	21	19
19	18	17	18	20	20	21	22	22	21
19	18	18	18	18	17	18	18	19	18
25	22	20	33	33	35	26	27	47	42
24	20	18	19	23	20	20	21	21	26
19	20	26	19	20	21	25	27	23	21
62	100	164	122	208	242	298	842	1254	1767
69	101	124	82	94	243	252	523	764	1058
85	133	144	270	236	266	407	920	1234	1749
145	335	563	594	1056	1162	1868	5742	5634	5476
112	211	364	456	965	956	1482	6004	6145	6266
133	186	435	447	860	901	1435	5747	6089	5857
113	138	359	404	648	814	1112	5527	5237	5722
103	167	315	410	661	679	1086	4716	5168	5770
130	218	469	382	722	730	1153	4452	4593	4482
									
