23	20	23	24	26	27	45	76
19	19	20	19	19	19	19	20
32	29	34	36	40	47	57	60
20	19	20	20	21	21	25	30
19	19	20	19	20	20	22	24
33	22	27	29	36	42	64	83
18	18	20	18	20	20	32	42
41	31	39	44	54	73	185	259
17	18	19	17	17	17	16	17
56	51	76	103	173	438	1929	2788
22	20	23	24	29	40	205	553
32	30	42	57	84	131	919	1652
19	20	25	26	39	61	649	1098
19	20	23	23	28	38	155	260
18	19	21	21	23	29	253	491
20	19	20	19	21	24	110	367
23	22	27	29	37	65	747	1007
21	22	27	34	53	101	2025	2796
88	129	331	755	1851	3325	8063	8157
21	22	28	34	48	78	544	1226
37	48	72	116	232	510	2690	3320
21	21	25	29	42	82	1319	1561
37	45	72	119	266	852	4768	5164
21	22	25	28	38	71	1019	2147
							
