71	42	39	37	42	103	135	149	190	214
56	40	38	40	52	153	217	248	323	371
66	52	47	52	69	222	325	397	547	647
98	49	49	52	74	296	462	571	824	1139
64	52	48	54	72	254	378	470	654	780
65	49	43	46	60	214	306	378	514	614
60	56	50	59	76	251	364	430	592	712
78	58	53	60	82	276	382	455	608	715
63	51	49	56	72	240	340	425	598	726
82	42	38	45	60	238	368	589	965	1374
70	55	53	66	91	358	539	823	1277	1685
67	49	48	56	80	314	517	779	1237	1714
78	60	61	87	130	606	955	1696	3012	4379
66	55	53	73	114	504	817	1279	2082	2910
66	53	53	72	109	487	762	1241	2083	2968
75	57	54	67	96	369	553	814	1269	1700
102	82	76	98	143	533	778	1072	1549	1997
77	62	59	71	95	375	584	832	1242	1648
93	75	70	92	133	626	997	1570	2580	3507
68	49	46	59	86	404	645	1032	1759	2547
68	58	59	74	115	541	845	1377	2290	3280
91	71	74	101	154	626	955	1414	2218	2886
72	63	58	76	114	506	771	1194	1874	2541
72	58	58	76	114	529	836	1301	2127	2907
