23	19	20	21	23	32	46
31	24	30	36	45	76	128
19	19	19	21	24	26	36
20	20	26	28	34	49	84
25	20	30	37	44	67	113
30	27	44	61	81	148	284
19	18	18	19	21	29	42
24	18	22	24	27	38	57
19	18	19	19	20	22	29
25	18	19	19	21	26	37
22	23	18	19	20	24	36
19	19	19	23	20	24	33
27	25	34	43	55	107	247
20	21	24	26	31	52	102
23	20	20	21	23	37	75
20	18	18	19	21	24	33
31	26	24	26	28	42	84
19	18	18	18	19	21	29
145	113	251	363	510	1106	2030
40	30	46	58	83	187	502
31	27	31	36	45	83	177
21	22	21	24	28	45	98
22	20	22	24	28	48	101
55	49	123	176	266	692	1700
