210	477	1070	1617	2258	3148	5297
131	186	475	1001	1202	1911	2813
69	242	538	684	1002	1626	2034
90	248	757	1258	1776	2451	3982
133	207	547	882	1221	1747	2484
138	429	904	1280	1820	2583	3835
90	247	728	1054	1373	2248	3423
105	252	633	1346	1892	3378	4745
141	176	499	805	1177	1971	2825
27	28	96	120	235	383	546
23	31	81	123	262	405	539
56	186	508	813	1064	1647	2200
69	170	475	696	949	1334	2017
47	204	405	542	836	1211	1634
68	165	413	699	1063	1597	2165
79	188	448	658	887	1385	1893
51	132	327	552	747	845	1301
149	323	595	876	1173	1757	2471
159	702	1670	2550	1912	2656	2775
133	583	1632	2608	3686	4325	4424
98	271	1018	1713	2621	4463	4926
109	346	1067	1764	2910	4290	5507
68	276	1026	1678	2688	4262	5503
134	420	1165	2162	3111	4623	5269
131	552	1995	3364	3778	4634	4003
108	322	1284	2220	3409	4866	5568
56	311	1464	2478	4047	5569	7500
58	272	870	1544	2859	4671	5192
108	296	1069	1752	2682	4554	5707
85	315	721	1295	1761	2757	4252
59	334	947	1547	1853	3091	4251
56	221	619	999	1523	2460	3956
66	256	630	965	1441	2262	3297
94	90	250	291	479	692	859
53	82	211	391	577	669	980
42	108	227	326	536	744	943
