18	19	19	18	17	17	16	16	15	15	16	16	15	17	20	20	21
24	20	21	20	20	21	31	38	40	46	50	59	60	73	153	197	244
18	19	19	18	19	18	19	21	21	22	22	23	23	27	42	48	56
18	19	19	18	17	17	16	18	16	15	16	16	16	18	19	20	21
18	18	18	17	17	17	16	17	16	15	16	16	15	17	19	19	20
20	19	20	20	20	21	35	46	53	62	66	77	83	99	201	246	267
18	19	18	17	17	17	18	20	20	24	21	26	25	31	61	76	85
18	19	19	18	18	18	18	18	17	16	17	17	17	19	22	23	23
18	19	19	18	18	18	19	21	21	22	23	26	25	31	58	76	90
23	21	22	21	20	21	29	39	46	59	63	92	92	135	858	1245	1726
24	19	19	18	18	18	18	20	20	22	23	26	25	32	89	177	211
17	18	18	17	17	16	15	16	15	14	15	14	14	16	17	17	17
30	23	26	26	28	33	67	109	140	198	213	317	321	476	2247	3269	4498
17	18	19	18	17	17	17	18	17	17	17	18	18	20	37	48	67
35	28	29	30	32	37	82	133	173	243	269	406	422	617	3011	4265	5577
22	21	21	20	19	20	24	38	31	37	38	46	46	63	255	388	556
17	18	18	17	17	17	16	17	16	15	16	16	15	17	20	23	29
17	17	18	17	16	16	16	16	14	13	14	14	14	15	17	18	21
100	59	67	67	81	105	328	567	750	1070	1216	1736	1769	2381	7872	10409	10901
29	25	26	26	28	31	56	83	102	140	151	219	219	325	1501	2353	3389
17	18	18	17	17	17	17	19	18	20	21	24	24	31	91	132	180
29	19	21	20	20	22	32	46	56	75	81	119	116	174	941	1430	2087
18	18	18	17	17	20	17	19	18	18	20	23	23	28	65	90	107
73	43	45	46	56	70	198	333	476	666	719	1080	1154	1612	6375	8856	11837
																
