21	19	18	18	20	27	39
19	19	19	20	22	24	31
33	32	92	141	205	494	1000
36	31	81	153	325	790	999
20	18	18	19	20	23	28
19	18	16	17	18	24	32
19	19	20	21	23	30	76
20	19	21	23	26	43	158
19	18	18	19	20	22	28
20	18	27	45	124	559	1995
19	18	18	19	21	70	244
19	18	19	25	42	247	683
18	18	20	26	52	413	1614
21	19	22	25	54	320	1757
20	18	21	24	57	396	1232
21	19	19	20	24	58	243
24	19	50	118	380	1119	3872
19	18	17	19	31	194	668
44	31	99	260	423	1216	2682
25	21	27	39	66	326	1266
24	20	27	42	80	1181	3144
20	20	25	57	187	1765	5292
26	23	52	81	262	1917	4152
23	20	22	42	135	319	968
