21	22	21	18	18	17	19	19	18
20	21	21	18	18	18	20	19	18
20	21	21	18	18	17	20	19	18
20	21	20	18	18	17	19	18	18
20	21	21	18	18	17	19	19	18
21	21	20	17	17	16	19	17	17
21	22	21	18	19	17	20	19	18
20	21	21	18	18	18	20	21	19
20	20	21	18	18	18	20	20	20
20	21	21	18	18	18	20	20	19
20	21	20	18	18	18	20	19	19
20	21	20	18	18	17	19	18	18
21	26	24	24	23	24	26	42	25
21	21	21	19	21	24	21	21	33
23	23	23	20	20	20	23	23	22
61	92	295	388	661	988	1232	2519	3544
73	56	242	366	702	868	1301	2189	3064
83	136	344	505	826	1135	1423	2522	3387
129	288	1835	2635	5436	7931	8947	7373	8256
92	202	1202	1663	3734	5453	8044	8803	8309
108	158	1133	1659	3443	5550	6560	6637	6532
96	107	1104	1604	4040	6089	6809	6588	5543
145	161	1058	1626	3666	5499	6076	5532	5149
119	223	1251	1810	3968	5314	5135	4635	4209
								
								
