212	160	233	299	306	364	292	
58	45	59	66	70	72	79	
47	31	36	40	40	42	43	
54	48	67	82	88	99	107	
152	125	187	220	230	212	227	
42	27	33	38	40	46	52	
182	122	240	470	954	1348	1777	
27	21	23	28	31	39	52	
26	21	24	27	29	36	43	
29	30	62	166	268	927	1180	
100	82	396	1063	2622	4687	5273	
67	46	121	319	797	3178	5500	
120	137	1055	2675	6376	7634	8343	
23	26	47	101	319	708	1179	
36	39	102	225	650	1347	2008	
27	31	67	140	486	1251	2151	
28	30	57	139	458	1090	1775	
96	93	282	946	2169	2176	3015	
69	52	159	866	1445	2237	3438	
39	45	161	636	2974	6726	6738	
47	73	680	2287	5341	4722	5288	
28	27	53	124	793	1584	2913	
154	147	1287	4263	6878	7109	4364	
46	45	122	553	1535	1696	2340	
53	36	90	219	469	997	1398	
23	24	33	42	79	137	278	
74	66	324	903	998	2747	5317	
24	24	33	45	72	164	267	
210	278	1251	2910	9088	6778	3022	
25	26	50	78	234	648	1170	
164	83	135	299	397	536	723	
98	111	597	1133	2470	6694	8252	
42	31	54	82	386	730	914	
44	32	58	89	134	222	373	
30	24	35	49	65	98	147	
54	27	27	30	30	35	40	
							
							
