119	69	106	146	194	289	399
222	121	200	289	379	599	782
154	80	122	171	215	341	433
91	51	78	101	128	185	251
106	55	84	113	144	213	281
127	53	69	87	109	149	198
53	34	46	60	74	110	144
32	30	37	48	62	77	96
102	86	118	168	221	347	487
27	24	27	32	35	47	59
31	28	28	32	36	46	59
290	106	173	257	379	645	976
40	26	36	45	52	71	95
142	79	130	191	259	428	649
189	117	212	323	501	865	1250
42	26	33	42	49	71	100
127	61	100	142	196	322	473
169	86	139	201	287	460	719
279	200	486	829	1238	1976	2608
397	248	483	836	1236	2147	3156
393	141	263	452	697	1283	2093
195	79	133	192	258	417	588
240	83	144	214	292	471	668
121	58	88	123	164	236	326
123	57	77	100	116	151	193
30	24	29	32	34	40	45
21	22	23	25	27	30	35
79	53	70	87	108	136	172
167	62	81	92	114	158	198
54	28	33	39	44	51	59
147	52	66	85	91	106	125
102	53	70	90	106	135	179
40	24	25	29	26	27	27
31	24	26	31	32	40	50
179	68	97	136	166	239	333
111	51	69	85	106	144	188
