16	17	15	15	14	15	17
23	21	20	21	23	23	21
16	17	16	15	15	15	14
38	36	37	46	54	51	54
16	17	15	15	15	16	14
21	19	19	19	20	20	19
16	17	16	16	16	16	16
17	18	17	17	17	18	17
16	18	17	16	16	16	15
18	24	26	32	39	38	50
16	19	18	20	22	23	27
21	25	29	40	83	95	257
25	56	110	309	1073	694	1681
19	37	51	82	176	245	689
21	35	46	73	236	282	697
22	31	39	64	118	143	458
21	30	38	61	234	295	599
31	89	184	537	1272	1242	2347
90	445	1741	4124	6795	6878	9962
34	105	177	583	1460	1517	3393
34	46	91	413	1304	1768	4754
95	419	1783	4017	10257	14299	14228
27	35	48	99	536	265	404
25	39	54	85	273	246	541
16	17	16	16	16	16	16
42	49	60	76	187	188	287
53	47	74	112	298	216	393
62	83	160	351	782	1328	1658
56	144	249	388	620	603	1197
35	42	52	227	198	172	321
46	46	56	100	136	110	157
19	24	26	29	37	38	59
36	41	47	60	127	149	221
45	100	158	254	428	421	706
32	42	64	92	153	155	263
20	23	26	31	42	43	61
