28	25	26	26	29	32	31	31	33
26	24	24	24	27	28	27	25	26
24	22	23	23	27	30	30	32	37
22	21	21	21	23	22	21	20	20
23	21	21	21	23	22	21	20	20
23	25	25	23	25	22	20	20	19
29	27	27	26	28	28	27	25	26
34	28	33	36	46	64	76	92	113
24	23	23	22	24	24	24	22	23
26	24	26	28	36	58	95	213	447
25	21	23	24	29	44	60	133	235
24	22	22	22	26	33	43	76	130
118	67	148	268	591	1841	3569	3634	5556
29	23	28	34	49	141	248	476	954
28	22	23	24	29	47	75	176	361
28	22	24	27	33	63	97	182	315
22	20	21	21	25	33	40	57	100
26	22	26	29	42	150	357	709	1223
100	82	202	474	1033	3079	4886	3052	4784
158	100	297	838	1654	5356	7939	6405	5157
91	50	103	204	482	1873	3195	5091	3916
85	43	112	386	992	3138	4638	5069	5962
110	87	329	535	913	2999	6138	5733	6071
60	45	93	206	507	2062	3718	3816	4468
								
								
