199	1076	1671	2567	3405	3947	4803
127	674	1067	1518	2085	2352	3221
151	758	1133	1735	2160	2517	3056
139	561	1001	1403	1917	2067	2698
135	689	1063	1515	2047	2317	3115
189	735	1023	1478	2130	2328	3307
72	711	1252	1518	2229	2344	3071
74	592	839	1468	2205	2453	3569
78	676	920	1658	2328	2307	3331
59	337	563	738	920	1107	1281
125	402	712	1245	1607	1858	2594
104	713	1021	1498	2086	2350	3099
154	760	1418	2019	2808	2919	4622
96	608	870	1247	1603	1823	2372
82	526	798	1239	1873	2089	2702
101	531	846	1416	1873	1934	2676
172	566	797	1066	1450	1384	2030
123	932	1220	1835	2385	2533	3480
185	1510	2163	3124	4336	4716	4972
301	1976	2915	4279	5344	5334	5669
120	1059	1587	2611	3906	3927	5059
233	1375	2215	3507	5137	5197	5562
56	586	786	1451	2071	2426	3323
130	571	1062	1604	2311	2462	3692
16	19	32	50	91	84	186
25	159	315	476	910	981	1656
46	216	416	698	971	1119	1853
158	985	1628	2746	3951	4101	5103
80	376	687	989	1635	1640	2634
156	1060	1526	2462	3616	4003	5107
190	1156	1395	2619	3615	3965	5163
92	547	699	1268	1809	1910	2839
85	473	660	977	1418	1448	2227
106	223	283	414	551	600	769
113	216	331	418	606	641	817
130	334	402	545	706	821	941
						
