34	34	33	34	33	31	31	31
36	35	34	35	35	33	33	33
36	36	36	36	36	34	35	34
36	36	35	36	36	34	34	34
36	36	36	37	36	34	35	35
37	36	35	37	37	35	37	37
34	34	33	34	34	32	32	32
35	35	35	36	36	34	35	35
35	35	35	36	36	35	35	35
36	42	59	131	338	482	942	3422
43	64	147	520	2092	4176	7707	13391
676	1614	2488	4409	10804	16145	24813	28211
191	359	610	1117	3322	4630	7232	10332
37	43	61	119	301	394	794	2899
42	70	134	221	656	1245	2601	9965
44	72	150	357	972	1813	3864	13756
35	37	44	75	164	227	433	1905
73	142	301	395	1256	2874	4776	6545
57	89	140	223	756	1324	1857	2321
156	584	1040	1804	5157	7827	12704	12205
49	88	176	306	913	1703	3092	19624
42	50	72	135	340	475	742	3634
91	136	214	374	1260	1989	3183	8512
59	78	146	237	461	606	716	790
48	81	136	241	585	776	1162	3252
40	47	64	105	280	366	473	813
40	46	65	115	323	389	561	1269
119	270	704	1131	2199	2657	4196	9873
84	182	508	1155	2637	3471	4723	10143
38	43	51	69	133	161	215	321
66	95	154	225	499	951	1467	2372
37	36	37	42	57	73	102	186
103	145	328	719	1446	1640	2274	6109
66	102	181	342	1091	1546	2357	3346
38	39	40	47	75	103	181	395
38	36	36	39	43	49	60	96
							
							
							
							
							
