31	22	23	29	32	26	32	39	40	46	55	163
20	19	19	19	19	18	20	20	19	20	19	20
54	29	30	30	36	33	41	51	53	62	79	269
21	20	19	21	20	19	21	22	21	23	24	29
21	19	18	19	19	19	21	20	20	21	19	20
21	19	19	19	18	18	20	19	19	19	19	20
20	18	18	19	18	18	21	20	19	20	19	21
53	32	37	37	49	44	60	96	110	182	265	664
20	19	18	19	18	18	21	20	20	21	21	21
43	33	41	42	68	64	110	977	1233	1685	2810	16228
30	23	29	27	35	34	49	159	447	772	1088	6933
36	29	34	35	49	45	74	342	781	1363	1955	22441
57	42	63	66	116	111	211	2529	6743	10962	18287	8273
27	24	28	29	40	39	62	220	618	1226	1228	8174
36	25	29	29	39	38	57	185	471	1197	3128	7857
85	59	92	98	183	171	281	2270	9013	11654	20255	18111
40	29	33	34	46	43	64	342	705	782	1214	8386
32	24	28	29	40	38	58	398	913	1370	2555	7499
48	30	35	35	49	45	79	545	701	1245	1658	5930
43	31	41	43	68	64	107	1153	2586	3010	7169	6838
41	31	41	41	64	61	96	786	1619	2693	4708	7004
59	40	57	59	101	98	168	2011	4270	7373	8097	7783
38	29	38	39	59	55	95	1478	2664	3575	6092	9561
40	27	35	35	52	50	83	873	2454	3292	4281	10212
											
