19	19	19	18	22	27	179	389	665
20	21	20	22	35	52	576	934	1512
20	19	21	21	40	63	545	957	1505
20	20	22	23	29	64	669	1256	1704
21	19	21	22	24	50	456	814	1377
21	19	19	27	26	40	272	366	717
20	23	21	20	35	49	461	736	1343
22	19	22	22	33	38	374	660	1092
22	19	22	23	33	36	211	447	595
21	20	26	22	34	38	271	515	794
20	19	21	21	31	56	210	344	799
21	20	22	24	30	52	268	389	653
20	19	21	21	27	50	437	613	1115
20	19	21	34	32	58	460	869	1266
20	23	21	20	29	43	392	722	1096
22	19	25	22	22	39	234	378	722
20	19	23	21	24	42	243	433	652
20	22	20	21	33	37	286	502	973
29	26	41	28	34	54	516	1168	1880
19	17	21	35	41	93	1207	1976	3525
20	18	22	21	31	63	702	1337	2257
19	17	20	21	31	54	631	1094	1641
26	23	26	25	34	41	381	608	1097
48	45	49	48	51	61	445	706	1278
21	19	25	23	45	63	965	1679	3133
22	19	23	24	44	78	724	1010	1476
19	17	20	20	38	70	752	1379	2424
20	17	20	19	34	59	577	947	1385
24	20	26	30	33	67	601	887	1786
24	22	23	21	30	49	413	771	1134
18	16	18	24	31	37	415	966	1634
19	18	21	21	20	35	324	536	1010
19	17	19	18	18	30	168	369	674
20	17	20	20	30	51	215	341	456
19	17	19	17	26	37	256	328	524
22	20	21	21	31	26	155	266	437
