21	21	21	20	19	19	17
20	21	20	20	20	20	18
20	20	19	19	19	19	18
20	20	20	20	19	19	18
32	28	30	32	35	44	47
25	24	24	26	28	32	32
19	20	20	20	19	19	17
19	20	20	20	20	20	18
19	20	20	20	20	20	18
21	24	27	30	36	211	585
19	20	20	20	21	84	122
26	47	60	110	282	3406	9630
116	818	2241	3959	8736	7725	6473
31	54	78	123	316	3699	9901
35	59	91	166	481	5201	15528
23	38	46	71	142	2427	5200
27	51	68	103	255	3919	13537
26	60	88	256	583	2877	4482
26	55	178	607	1942	6157	7181
35	74	173	746	1756	6694	5766
19	21	24	37	108	2290	3995
20	23	28	58	189	2388	3113
113	300	1099	3520	10698	17116	14914
26	47	64	133	340	1705	2024
24	39	50	65	95	372	612
21	35	43	53	73	299	501
21	31	36	45	63	336	533
22	30	35	46	74	411	693
22	24	26	32	52	299	548
22	25	27	30	42	314	850
23	24	25	27	28	100	116
20	21	21	23	23	53	75
22	23	24	26	29	68	216
23	27	32	43	58	216	311
20	21	22	25	30	84	110
21	21	24	28	33	88	130
						
