46	28	28	29	30	31	36	60	79	100	125	290	381	706
62	39	38	43	44	50	58	128	183	262	358	1092	1581	3165
121	59	64	75	78	88	113	279	408	606	893	3096	4150	6869
34	23	23	23	23	22	26	34	40	49	61	163	241	583
32	23	23	23	24	23	26	34	41	48	59	147	204	412
66	37	37	37	38	38	43	67	85	110	143	354	471	949
23	20	19	19	19	19	21	23	27	33	38	95	129	283
48	42	40	46	46	51	71	184	280	434	663	2868	4323	8424
36	27	28	29	31	31	38	79	110	159	227	847	1337	3264
28	27	25	25	26	25	30	59	83	126	202	1040	1722	4775
22	22	19	19	19	18	20	22	25	29	37	156	266	729
179	95	96	116	118	143	199	860	1475	2596	3831	10492	13521	21722
47	27	25	26	27	27	32	62	84	115	159	538	807	1867
59	34	37	41	43	48	65	201	316	477	740	3069	4421	9072
63	37	39	44	45	51	66	167	256	408	638	2852	4018	8634
27	20	21	20	21	20	23	33	39	54	71	261	411	1081
40	27	30	29	29	31	40	94	140	221	338	1596	2491	5516
56	33	34	36	36	39	48	104	150	221	326	1225	1836	3944
355	197	259	373	390	528	853	4081	6022	7966	10699	17752	18177	18996
117	76	77	93	88	106	141	506	873	1449	2263	8255	10275	15709
76	38	40	49	47	53	66	186	299	481	821	3832	5915	12572
59	31	31	33	32	32	36	55	64	84	113	292	400	795
38	26	24	24	24	24	28	37	44	52	67	161	218	457
47	32	32	34	34	34	41	68	85	114	141	361	471	876
37	27	26	27	27	27	29	33	37	42	46	72	88	126
31	21	20	20	21	19	21	23	24	25	26	37	49	79
25	20	19	19	19	18	20	20	21	21	20	21	19	19
58	23	24	22	22	22	22	23	24	24	25	30	29	37
58	40	27	27	27	26	29	34	41	43	49	81	94	131
20	18	17	17	17	16	18	17	17	17	16	16	15	15
24	22	20	19	20	18	19	20	20	19	20	21	20	22
23	20	19	18	19	18	28	19	20	19	20	21	18	21
22	20	18	18	19	17	19	18	18	18	17	17	16	17
21	20	18	18	18	17	19	19	20	20	22	35	43	82
157	67	64	64	60	64	76	120	162	226	320	1087	1620	3496
110	45	49	49	45	48	56	75	93	122	161	485	680	1404
													
